Time,Location,Nature,Status,date
5:21 pm,6238 W MANITOBA ST MKE,Stolen Vehicle,Service in Progress View History,2024-07-15
5:21 pm,6238 W MANITOBA ST MKE,Stolen Vehicle,To be Filed View History,2024-07-15
5:21 pm,6238 W MANITOBA ST MKE,Stolen Vehicle,Service in Progress View History,2024-07-15
5:21 pm,6238 W MANITOBA ST MKE,Stolen Vehicle,To be Filed View History,2024-07-15
5:21 pm,6238 W MANITOBA ST MKE,Stolen Vehicle,Service in Progress View History,2024-07-15
5:21 pm,6238 W MANITOBA ST MKE,Stolen Vehicle,To be Filed View History,2024-07-15
5:20 pm,"LL(-88:01:28.8840,43:10:43.9678): EST 8857 N SWAN RD MKE",911,Advised View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:19 pm,2920 N VEL R PHILLIPS AVE MKE,Trouble,Advised View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:19 pm,2920 N VEL R PHILLIPS AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:19 pm,2920 N VEL R PHILLIPS AVE MKE,Trouble,Advised View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:19 pm,2920 N VEL R PHILLIPS AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:19 pm,2920 N VEL R PHILLIPS AVE MKE,Trouble,Advised View History,2024-07-15
5:19 pm,2920 N VEL R PHILLIPS AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:19 pm,6929 W SILVER SPRING DR MKE: @D4:100,Return Station,Assignment Completed View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:19 pm,"LL(-87:56:55.3562,43:07:39.4103)",911,Service in Progress View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:19 pm,3115 W FOND DU LAC AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
5:18 pm,N 9TH ST/W ATKINSON AVE MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
5:17 pm,3144 S 12TH ST MKE:UPPER,Parking Trouble,Unable to Locate Complainant View History,2024-07-15
5:16 pm,2979 N 38TH ST MKE,Crime Scene Technician Assignment,Service in Progress View History,2024-07-15
5:13 pm,10829 W FAIRMOUNT AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:13 pm,10829 W FAIRMOUNT AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:13 pm,10829 W FAIRMOUNT AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:13 pm,10829 W FAIRMOUNT AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:13 pm,10829 W FAIRMOUNT AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:13 pm,10829 W FAIRMOUNT AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
5:13 pm,6112 S 27TH ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:12 pm,"LL(-87:55:41.7399,43:04:58.9656): EST 3576 N 14TH ST MKE",911,Service in Progress View History,2024-07-15
5:11 pm,2707 N 54TH ST MKE,Resource Needed,Service in Progress View History,2024-07-15
5:11 pm,5642 S MARILYN ST MKE,911,Service in Progress View History,2024-07-15
5:11 pm,3000 W CANAL ST MKE: @MG:HEADLIGHTS,Assignment,Service in Progress View History,2024-07-15
5:10 pm,2925 N 22ND ST MKE:UPPER,Entry-Building or Structure,Advised View History,2024-07-15
5:10 pm,2925 N 22ND ST MKE:UPPER,Entry-Building or Structure,City Citation(s) Issued View History,2024-07-15
5:10 pm,2925 N 22ND ST MKE:UPPER,Entry-Building or Structure,City Citation(s) Issued View History,2024-07-15
5:10 pm,2925 N 22ND ST MKE:UPPER,Entry-Building or Structure,Advised View History,2024-07-15
5:10 pm,2925 N 22ND ST MKE:UPPER,Entry-Building or Structure,Advised View History,2024-07-15
5:10 pm,2925 N 22ND ST MKE:UPPER,Entry-Building or Structure,City Citation(s) Issued View History,2024-07-15
5:09 pm,2242 S 12TH ST MKE,Follow Up,Assignment Completed View History,2024-07-15
5:08 pm,5760 N 91ST ST MKE: @UNIT 4,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
5:08 pm,5760 N 91ST ST MKE: @UNIT 4,Battery/Fight/Assault,Service in Progress View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,Service in Progress View History,2024-07-15
5:07 pm,2920 N VEL R PHILLIPS AVE MKE: @D5,Special Assignment,Assignment Completed View History,2024-07-15
5:07 pm,600 W JUNEAU AVE MKE,Trouble,City Citation(s) Issued View History,2024-07-15
5:06 pm,3217 W WELLS ST MKE: @UNIT 11,Battery/Fight/Assault,Advised View History,2024-07-15
5:06 pm,3217 W WELLS ST MKE: @UNIT 11,Battery/Fight/Assault,Service in Progress View History,2024-07-15
5:06 pm,"LL(-87:53:48.9591,43:03:04.6402): EST 1633 N FRANKLIN PL MKE",911,Service in Progress View History,2024-07-15
5:05 pm,3034 N 26TH ST MKE,911,Service in Progress View History,2024-07-15
5:04 pm,N 41ST ST/W BURLEIGH ST MKE,Shots Fired,Open Investigation View History,2024-07-15
5:04 pm,N 41ST ST/W BURLEIGH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
5:04 pm,"LL(-87:58:50.0702,43:05:36.2759): EST 5384 W FOND DU LAC AVE MKE",911,Service in Progress View History,2024-07-15
5:04 pm,N 41ST ST/W BURLEIGH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
5:03 pm,4624 S 27TH ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
5:03 pm,3935 S 76TH ST MKE,Theft,Assignment Completed View History,2024-07-15
5:02 pm,2333 N 49TH ST MKE: @D3,Special Assignment,Assignment Completed View History,2024-07-15
5:01 pm,8022 W SCRANTON PL MKE,Call for Police,Advised View History,2024-07-15
5:00 pm,N 9TH ST/W WELLS ST MKE,Welfare Citizen,Service in Progress View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Assignment Completed View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Service in Progress View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Service in Progress View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Assignment Completed View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Service in Progress View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Assignment Completed View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Assignment Completed View History,2024-07-15
4:58 pm,N 28TH ST/W LISBON AVE MKE,Welfare Citizen,Advised View History,2024-07-15
4:58 pm,1708 W GREENFIELD AVE MKE,Dead On Entry,Service in Progress View History,2024-07-15
4:57 pm,S 13TH ST/W LINCOLN AVE MKE,Threat,Advised View History,2024-07-15
4:56 pm,3100BLK N OAKLAND AVE MKE,Child Abuse/Neglect,Unable to Locate Complainant View History,2024-07-15
4:52 pm,4419 S GRIFFIN AVE MKE,Stolen Vehicle,Unable to Locate Complainant View History,2024-07-15
4:51 pm,4230 W OKLAHOMA AVE MKE,Suspicious,Advised View History,2024-07-15
4:49 pm,"LL(-87:56:13.5674,43:02:44.6314): EST 1943 W JUNEAU AVE MKE",911,Service in Progress View History,2024-07-15
4:48 pm,920 S 12TH ST MKE:LWR,Welfare Citizen,Advised View History,2024-07-15
4:48 pm,4917 N 29TH ST MKE,911,Service in Progress View History,2024-07-15
4:48 pm,2920 N VEL R PHILLIPS AVE MKE: @D5:FUEL,Return Station,Assignment Completed View History,2024-07-15
4:47 pm,3743 N VEL R PHILLIPS AVE MKE:UPPER,Threat,Unable to Locate Complainant View History,2024-07-15
4:46 pm,S HOWELL AVE/E VAN BECK AVE MKE,Motor Vehicle Accident,Advised View History,2024-07-15
4:46 pm,"LL(-87:56:59.2190,43:06:10.8467): EST 4724 N 30TH ST MKE",911,Service in Progress View History,2024-07-15
4:44 pm,N 9TH ST/W WELLS ST MKE,Welfare Citizen,Assignment Completed View History,2024-07-15
4:42 pm,745 W GRANGE AVE MKE,Suicide Attempt,Assignment Completed View History,2024-07-15
4:42 pm,745 W GRANGE AVE MKE,Suicide Attempt,Service in Progress View History,2024-07-15
4:42 pm,8501 N 107TH ST MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
4:42 pm,745 W GRANGE AVE MKE,Suicide Attempt,Service in Progress View History,2024-07-15
4:42 pm,745 W GRANGE AVE MKE,Suicide Attempt,Assignment Completed View History,2024-07-15
4:41 pm,"LL(-88:00:17.9786,43:01:37.6966): EST 509 S 74TH ST MKE",911,Service in Progress View History,2024-07-15
4:40 pm,3187 N 15TH ST MKE,Welfare Citizen,Service in Progress View History,2024-07-15
4:40 pm,3187 N 15TH ST MKE,Welfare Citizen,Advised View History,2024-07-15
4:40 pm,3187 N 15TH ST MKE,Welfare Citizen,Advised View History,2024-07-15
4:40 pm,3187 N 15TH ST MKE,Welfare Citizen,Service in Progress View History,2024-07-15
4:40 pm,3187 N 15TH ST MKE,Welfare Citizen,Advised View History,2024-07-15
4:40 pm,3187 N 15TH ST MKE,Welfare Citizen,Service in Progress View History,2024-07-15
4:40 pm,2650 N 25TH ST MKE:LWR,Resource Needed,Service in Progress View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:39 pm,2333 N 49TH ST MKE: @D3,Transport,Assignment Completed View History,2024-07-15
4:39 pm,9017 N 75TH ST MKE: @UNIT 1,Battery/Fight/Assault,Advised View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Service in Progress View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Advised View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Advised View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Service in Progress View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Advised View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Service in Progress View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Advised View History,2024-07-15
4:36 pm,845 N 26TH ST MKE: @UNIT 312,Welfare Citizen,Service in Progress View History,2024-07-15
4:35 pm,1441 S 35TH ST MKE: @ALDI,Suspicious,Unable to Locate Complainant View History,2024-07-15
4:35 pm,3339 N SHERMAN BLVD MKE,911,Service in Progress View History,2024-07-15
4:31 pm,197 W ALVINA AVE MKE,Welfare Citizen,Service in Progress View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Service in Progress View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Assignment Completed View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Assignment Completed View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Service in Progress View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Assignment Completed View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Service in Progress View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Assignment Completed View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Service in Progress View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Service in Progress View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Assignment Completed View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Service in Progress View History,2024-07-15
4:30 pm,N 60TH ST/W HAMPTON AVE MKE,Traffic Hazard,Assignment Completed View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Service in Progress View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Unable to Locate Complainant View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Unable to Locate Complainant View History,2024-07-15
4:29 pm,N 60TH ST/W MILL RD MKE,Subject With A Weapon,Unable to Locate Complainant View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Service in Progress View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Service in Progress View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Unable to Locate Complainant View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Service in Progress View History,2024-07-15
4:29 pm,4100 W LANCASTER AVE MKE,Emotionally Disturbed Person,Unable to Locate Complainant View History,2024-07-15
4:28 pm,4485 W JENNA DR FR,911,Service in Progress View History,2024-07-15
4:27 pm,"LL(-87:57:06.3252,43:03:05.6806): EST 3020 W GALENA ST MKE",911,Service in Progress View History,2024-07-15
4:26 pm,"LL(-87:56:14.1830,43:02:58.4986): EST 1951 W KNEELAND ST MKE",911,Service in Progress View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Open Investigation View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Open Investigation View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Open Investigation View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Open Investigation View History,2024-07-15
4:25 pm,N 71ST ST/W MILL RD MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
4:22 pm,2920 N VEL R PHILLIPS AVE MKE: @D5,Return Station,Assignment Completed View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Service in Progress View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Unable to Locate Complainant View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Service in Progress View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Unable to Locate Complainant View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Unable to Locate Complainant View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Service in Progress View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Service in Progress View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Unable to Locate Complainant View History,2024-07-15
4:21 pm,"LL(-87:53:25.5293,43:04:19.8082): EST 2961 N NEWHALL ST MKE",911,Unable to Locate Complainant View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Service in Progress View History,2024-07-15
4:21 pm,302 W BURLEIGH ST MKE,911,Unable to Locate Complainant View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised View History,2024-07-15
4:20 pm,2650 N 25TH ST MKE:LWR,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:20 pm,8029 W HAMPTON AVE MKE: @UNIT 7,Theft,Advised View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Unable to Locate Complainant View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Assignment Completed View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Unable to Locate Complainant View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Assignment Completed View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Unable to Locate Complainant View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Assignment Completed View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Assignment Completed View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Unable to Locate Complainant View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Unable to Locate Complainant View History,2024-07-15
4:19 pm,N 38TH ST/W LLOYD ST MKE,Welfare Citizen,Assignment Completed View History,2024-07-15
4:19 pm,"LL(-88:01:25.1079,43:07:51.2290): EST 6213 N 89TH ST MKE",911,Service in Progress View History,2024-07-15
4:16 pm,N 49TH ST/W VILLARD AVE MKE,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
4:16 pm,E CAPITOL DR/N HOLTON ST MKE,911,Service in Progress View History,2024-07-15
4:15 pm,959 W LINCOLN AVE MKE: @SPEEDWAY,Threat,Advised View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,To be Filed View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,Service in Progress View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,Service in Progress View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,To be Filed View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,Service in Progress View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,To be Filed View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,To be Filed View History,2024-07-15
4:14 pm,4336 W VILLARD AVE MKE,Property Damage,Service in Progress View History,2024-07-15
4:13 pm,4150 S 52ND ST MKE,Animal Abuse/Neglect,Advised View History,2024-07-15
4:13 pm,4150 S 52ND ST MKE,Animal Abuse/Neglect,Advised/Referral View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Advised View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Service in Progress View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Advised View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Service in Progress View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Advised View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Service in Progress View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Service in Progress View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Advised View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Service in Progress View History,2024-07-15
4:11 pm,920 W MADISON ST MKE,Drug Dealing,Advised View History,2024-07-15
4:08 pm,"LL(-87:56:22.6825,43:03:03.0564): EST 1560 N 22ND ST MKE",911,Service in Progress View History,2024-07-15
4:06 pm,"LL(-87:57:38.6088,43:04:12.5126): EST 2822 N 38TH ST MKE",911,Service in Progress View History,2024-07-15
4:05 pm,524 S LAYTON BLVD MKE: @MITCHELL PARK DOMES,Entry-Vehicle,Service in Progress View History,2024-07-15
4:04 pm,3620 W KILBOURN AVE MKE: @UNIT 2,Welfare Citizen,Advised View History,2024-07-15
4:03 pm,2620 W SILVER SPRING DR MKE,Trouble,Service in Progress View History,2024-07-15
4:02 pm,9267 N 76TH ST MKE,911,Service in Progress View History,2024-07-15
4:02 pm,"LL(-87:57:58.5468,43:02:03.1884): EST 342 N 42ND ST MKE",911,Service in Progress View History,2024-07-15
3:58 pm,4324 N 21ST ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
3:58 pm,4324 N 21ST ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
3:58 pm,4324 N 21ST ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
3:58 pm,4324 N 21ST ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
3:58 pm,517 N 65TH ST MKE,Welfare Citizen,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Advised View History,2024-07-15
3:58 pm,450 N VAN BUREN ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
3:57 pm,2213 S 10TH PL MKE,Welfare Citizen,Advised View History,2024-07-15
3:57 pm,2213 S 10TH PL MKE,Welfare Citizen,Service in Progress View History,2024-07-15
3:57 pm,2213 S 10TH PL MKE,Welfare Citizen,Service in Progress View History,2024-07-15
3:57 pm,2213 S 10TH PL MKE,Welfare Citizen,Advised View History,2024-07-15
3:56 pm,3006 S 27TH ST MKE: @D6,Fraud,Service in Progress View History,2024-07-15
3:56 pm,3006 S 27TH ST MKE: @D6,Fraud,To be Filed View History,2024-07-15
3:56 pm,3006 S 27TH ST MKE: @D6,Fraud,To be Filed View History,2024-07-15
3:56 pm,3006 S 27TH ST MKE: @D6,Fraud,Service in Progress View History,2024-07-15
3:56 pm,3006 S 27TH ST MKE: @D6,Fraud,Service in Progress View History,2024-07-15
3:56 pm,3006 S 27TH ST MKE: @D6,Fraud,To be Filed View History,2024-07-15
3:56 pm,3006 S 27TH ST MKE: @D6,Fraud,To be Filed View History,2024-07-15
